latitude,longitude,population_density,urbanization_level
38.848331451416,-122.966003417969,416,High
60.4297,-151.9809,649,Low
19.38450050354,-155.281173706055,410,High
36.14767838,-98.30659485,24,High
46.2071647644043,-122.18283081054688,850,High
35.6201667,-117.6058333,229,Medium
38.7490005493164,-122.71216583252,502,Medium
34.1466667,-117.576,476,Medium
38.7869987487793,-122.767669677734,24,Medium
38.7898330688477,-122.820999145508,852,Medium
34.0181667,-117.2348333,107,Low
38.8380012512207,-122.876998901367,637,Low
32.9401667,-116.3348333,39,High
62.1708,-152.1327,999,High
38.8366661071777,-122.800666809082,875,High
33.8481667,-116.6791667,478,High
38.5926666259766,-122.793830871582,355,Medium
34.0304985,-117.0961685,696,High
38.7986679077148,-122.768333435059,718,Medium
-32.4163,-70.865,798,Medium
33.8081667,-117.6396667,844,Low
38.8014984130859,-122.814834594727,393,Low
61.4892,-150.0105,281,Low
19.1615009307861,-155.489837646484,454,High
60.848,-151.6169,400,Medium
59.9814,-140.9557,327,Medium
26.8191,140.3034,842,Low
63.4857,-148.4173,199,High
64.915,-147.7454,240,Medium
19.3806666666667,-155.237666666667,399,Medium
19.3795,-155.239,400,Medium
38.8061676025391,-122.779335021973,393,Low
61.5161,-149.9059,47,High
38.8349990844727,-122.882331848145,748,Low
61.4877,-149.9201,976,Low
17.8408333333333,-64.9301666666667,40,Medium
39.5035,-119.4891,690,Low
-31.812,-178.501,668,Medium
57.2373,-153.7811,628,Medium
63.3419,-149.3207,381,High
-49.3754,30.2769,635,High
36.7702,-116.268,860,Medium
32.4481667,-115.1878333,388,High
38.8368339538574,-122.794166564941,830,Medium
60.0058333333333,-153.083,294,High
38.7958335876465,-122.765998840332,644,Medium
19.1458339691162,-155.489669799805,120,Low
60.2656,-138.3264,178,High
60.1758,-150.8125,168,High
62.7789,-150.5405,938,High
36.1240005493164,-120.69416809082,341,Medium
37.6456680297852,-119.038330078125,393,Medium
61.8118,-147.5337,308,Medium
53.9166666666667,-166.3735,744,Low
37.0336,-116.2165,586,Low
19.394832611084,-155.27766418457,83,Low
61.5032,-150.5887,773,High
19.3959999084473,-155.270004272461,914,Medium
19.3941669464111,-155.253997802734,288,Medium
17.9918333333333,-66.7973333333333,189,Low
