latitude,longitude,building_type,construction_quality
38.848331451416,-122.966003417969,Critical,Medium
60.4297,-151.9809,Industrial,Medium
19.38450050354,-155.281173706055,Commercial,Low
36.14767838,-98.30659485,Critical,High
46.2071647644043,-122.18283081054688,Commercial,Low
35.6201667,-117.6058333,Critical,Low
38.7490005493164,-122.71216583252,Residential,High
34.1466667,-117.576,Industrial,High
38.7869987487793,-122.767669677734,Industrial,Medium
38.7898330688477,-122.820999145508,Industrial,High
34.0181667,-117.2348333,Critical,Low
38.8380012512207,-122.876998901367,Critical,High
32.9401667,-116.3348333,Industrial,High
62.1708,-152.1327,Residential,Low
38.8366661071777,-122.800666809082,Residential,Low
33.8481667,-116.6791667,Critical,Low
38.5926666259766,-122.793830871582,Commercial,High
34.0304985,-117.0961685,Commercial,High
38.7986679077148,-122.768333435059,Residential,Low
-32.4163,-70.865,Industrial,Low
33.8081667,-117.6396667,Industrial,Low
38.8014984130859,-122.814834594727,Industrial,Low
61.4892,-150.0105,Critical,Medium
19.1615009307861,-155.489837646484,Critical,Medium
60.848,-151.6169,Critical,Medium
59.9814,-140.9557,Residential,High
26.8191,140.3034,Industrial,High
63.4857,-148.4173,Commercial,High
64.915,-147.7454,Residential,High
19.3806666666667,-155.237666666667,Commercial,Medium
19.3795,-155.239,Residential,Medium
38.8061676025391,-122.779335021973,Critical,Low
61.5161,-149.9059,Critical,High
38.8349990844727,-122.882331848145,Industrial,Low
61.4877,-149.9201,Residential,Low
17.8408333333333,-64.9301666666667,Critical,High
39.5035,-119.4891,Industrial,Low
-31.812,-178.501,Residential,Low
57.2373,-153.7811,Residential,Low
63.3419,-149.3207,Industrial,Low
-49.3754,30.2769,Critical,High
36.7702,-116.268,Industrial,Low
32.4481667,-115.1878333,Residential,Medium
38.8368339538574,-122.794166564941,Commercial,High
60.0058333333333,-153.083,Critical,Low
38.7958335876465,-122.765998840332,Critical,High
19.1458339691162,-155.489669799805,Commercial,High
60.2656,-138.3264,Commercial,Low
60.1758,-150.8125,Residential,Low
62.7789,-150.5405,Residential,Low
36.1240005493164,-120.69416809082,Industrial,Low
37.6456680297852,-119.038330078125,Industrial,Low
61.8118,-147.5337,Critical,Low
53.9166666666667,-166.3735,Commercial,Low
37.0336,-116.2165,Critical,High
19.394832611084,-155.27766418457,Industrial,Low
61.5032,-150.5887,Residential,Medium
19.3959999084473,-155.270004272461,Residential,Medium
19.3941669464111,-155.253997802734,Industrial,Low
17.9918333333333,-66.7973333333333,Industrial,Low
61.7956,-149.6592,Industrial,Medium
40.5248336791992,-124.41300201416,Residential,High
19.2893333435059,-155.371505737305,Commercial,Low
53.9026666666667,-166.414166666667,Critical,Low
52.8736666666667,-169.809833333333,Residential,Low
52.7866666666667,-169.851666666667,Commercial,High
64.5356,-149.2355,Commercial,High
55.0483333333333,-162.235166666667,Critical,Low
61.293,-152.2173,Residential,Low
46.5295,-122.9675,Commercial,High
51.92,-177.23,Commercial,Low
17.9053333333333,-66.9421666666667,Commercial,High
59.7265,-152.7255,Commercial,Medium
-17.9261,-174.9645,Industrial,High
37.0251,-116.2189,Industrial,Low
64.7853,-149.0222,Residential,High
64.9798,-147.3785,Critical,High
55.0458333333333,-162.232666666667,Industrial,Low
55.0378333333333,-162.247166666667,Commercial,Medium
58.2691666666667,-155.114,Commercial,Low
55.0475,-162.2365,Critical,Low
33.534,-116.4396667,Critical,Medium
